Age;AnneesPratique;Federe;Nombtr3000;Boussole/GPS;Chaussures;sacados;RadioTel;TrousseSecours;id_proc;pico;Avis;bornes;Sexe
46;15;1;49;0;3;1;0;1;NA;Cotiella;2;[40,50[;H
44;14;1;40;0;4;1;0;1;NA;Cotiella;4;[40,50[;F
30;2;0;1;0;3;1;1;1;FRA;Garmo Negro;5;[30,40[;H
31;2;0;1;0;3;1;1;1;FRA;Garmo Negro;4;[30,40[;F
37;3;0;2;0;3;1;1;1;FRA;Garmo Negro;4;[30,40[;F
49;20;1;20;1;4;1;1;1;FRA;Garmo Negro;4;[40,50[;H
50;20;1;20;1;4;1;1;1;FRA;Garmo Negro;4;[50,60[;H
60;40;1;25;1;4;1;1;1;FRA;Garmo Negro;3;[60,70[;H
37;20;1;20;1;4;1;1;1;FRA;Garmo Negro;5;[30,40[;F
34;20;1;20;1;4;1;1;1;FRA;Garmo Negro;3;[30,40[;F
36;20;1;2;1;4;1;1;1;FRA;Garmo Negro;2;[30,40[;F
42;22;1;51;1;3;1;1;1;FRA;Garmo Negro;5;[40,50[;F
56;4;1;2;1;3;1;1;1;FRA;Garmo Negro;1;[50,60[;F
47;5;1;3;1;4;1;1;1;FRA;Garmo Negro;4;[40,50[;F
52;10;1;50;1;4;1;1;1;FRA;Garmo Negro;3;[50,60[;H
32;10;1;50;1;3;1;1;1;FRA;Garmo Negro;5;[30,40[;F
34;13;1;30;1;3;1;1;1;FRA;Garmo Negro;3;[30,40[;F
36;15;1;12;1;3;1;1;1;FRA;Garmo Negro;3;[30,40[;F
40;16;1;12;1;3;1;1;1;FRA;Garmo Negro;4;[40,50[;F
31;26;1;26;1;4;1;0;0;CT;Garmo Negro;2;[30,40[;H
30;22;1;26;1;4;1;0;0;CT;Garmo Negro;5;[30,40[;H
21;10;0;2;0;3;1;0;0;NA;Garmo Negro;2;[20,30[;H
38;21;1;40;1;3;1;0;1;CL;Garmo Negro;5;[30,40[;H
24;2;0;1;0;4;1;0;0;NA;Bisaurín;5;[20,30[;H
34;15;0;3;1;3;1;0;0;NLD;Bisaurín;3;[30,40[;H
30;0;0;0;1;2;0;0;0;NLD;Bisaurín;5;[30,40[;F
43;20;0;5;1;3;1;0;0;FRA;Bisaurín;1;[40,50[;H
45;20;0;5;1;3;1;0;0;FRA;Bisaurín;4;[40,50[;F
32;10;0;2;1;3;1;0;1;FRA;Bisaurín;2;[30,40[;F
39;10;0;4;1;3;1;0;1;FRA;Bisaurín;1;[30,40[;F
33;10;0;4;1;4;1;0;1;FRA;Bisaurín;2;[30,40[;H
33;10;0;2;1;3;1;0;1;FRA;Bisaurín;4;[30,40[;H
31;10;0;2;1;3;1;0;1;FRA;Bisaurín;5;[30,40[;H
48;25;0;4;1;4;1;0;1;FRA;Bisaurín;2;[40,50[;H
50;25;0;1;1;4;1;0;1;FRA;Bisaurín;5;[50,60[;H
42;25;0;5;1;3;1;0;1;FRA;Bisaurín;4;[40,50[;F
43;25;0;2;1;3;1;0;1;FRA;Bisaurín;3;[40,50[;F
42;25;0;2;1;4;1;0;1;FRA;Bisaurín;4;[40,50[;F
62;30;0;5;1;4;1;0;1;FRA;Bisaurín;5;[60,70[;H
